No,Wilayah,Tipe_Disabilitas,Jumlah_Jiwa,Tahun,Link_Data
1,KOTA TASIKMALAYA,Intelektual,69,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
2,KOTA CIMAHI,Rungu/Wicara,276,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
3,KAB. PANGANDARAN,Mental,105,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
4,KAB. BANDUNG,Fisik,144,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
5,KOTA CIREBON,Rungu/Wicara,59,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
6,KAB. SUKABUMI,Mental,310,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
7,KAB. CIAMIS,Fisik,440,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
8,KAB. KARAWANG,Intelektual,296,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
9,KAB. BOGOR,Intelektual,176,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
10,KAB. BANDUNG,Fisik,236,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
11,KAB. SUBANG,Sensorik,228,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
12,KAB. CIAMIS,Fisik,380,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
13,KAB. INDRAMAYU,Sensorik,72,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
14,KOTA SUKABUMI,Mental,261,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
15,KOTA DEPOK,Mental,379,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
16,KAB. KARAWANG,Rungu/Wicara,31,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
17,KOTA CIREBON,Mental,232,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
18,KOTA BEKASI,Rungu/Wicara,156,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
19,KOTA BANJAR,Mental,222,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
20,KAB. CIAMIS,Intelektual,354,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
21,KOTA TASIKMALAYA,Fisik,426,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
22,KAB. CIREBON,Rungu/Wicara,297,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
23,KAB. SUKABUMI,Rungu/Wicara,229,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
24,KAB. SUBANG,Rungu/Wicara,38,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
25,KAB. INDRAMAYU,Mental,57,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
26,KAB. BANDUNG BARAT,Sensorik,301,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
